,en,lat,lng
42,Black-throated Tit,32.420815,105.85024
43,Black-throated Tit,30.583292,103.46624
44,Black-throated Tit,32.46096,119.92416
45,Black-throated Tit,32.60294,104.788284
46,Black-throated Tit,31.331179,120.736115
47,Black-throated Tit,29.760845,103.84022
48,Black-throated Tit,30.154385,121.953094
49,Black-throated Tit,30.119272,120.07067
50,Black-throated Tit,30.642256,104.17906
51,Black-throated Tit,29.536919,119.06825
52,Black-throated Tit,23.306927,105.803
53,Black-throated Tit,29.559925,119.12599
54,Black-throated Tit,30.25949,119.914825
55,Black-throated Tit,31.23457,120.566795
56,Black-throated Tit,26.883379,100.233444
57,Black-throated Tit,27.972912,116.37862
58,Black-throated Tit,24.16234,102.39495
59,Black-throated Tit,29.692398,114.23582
60,Black-throated Tit,25.224627,98.67067
61,Black-throated Tit,31.128164,119.85458
62,Black-throated Tit,30.193241,120.1185
63,Black-throated Tit,31.077246,121.18017
64,Black-throated Tit,30.539099,104.32158
65,Black-throated Tit,34.480644,110.06114
66,Black-throated Tit,25.975468,98.697136
67,Black-throated Tit,26.658157,106.66888
68,Black-throated Tit,30.263409,120.020744
69,Black-throated Tit,30.103945,120.056465
70,Black-throated Tit,24.962109,113.62699
71,Black-throated Tit,24.757023,102.89321
72,Black-throated Tit,30.15225,120.13549
73,Black-throated Tit,25.917171,119.13156
0,Brownish-flanked Bush Warbler,31.028845,119.898605
1,Brownish-flanked Bush Warbler,28.951767,120.07401
2,Brownish-flanked Bush Warbler,24.861746,118.12162
3,Brownish-flanked Bush Warbler,31.957115,114.244255
4,Brownish-flanked Bush Warbler,30.344103,119.92858
5,Brownish-flanked Bush Warbler,30.119272,120.07067
6,Brownish-flanked Bush Warbler,30.267427,120.07676
7,Brownish-flanked Bush Warbler,26.089828,119.23395
8,Brownish-flanked Bush Warbler,24.483877,118.08644
9,Brownish-flanked Bush Warbler,23.18312,113.29759
10,Brownish-flanked Bush Warbler,30.241926,119.75857
11,Brownish-flanked Bush Warbler,24.847673,118.026924
12,Brownish-flanked Bush Warbler,30.253456,120.11699
13,Brownish-flanked Bush Warbler,30.093533,120.11677
14,Brownish-flanked Bush Warbler,24.76691,113.23185
15,Brownish-flanked Bush Warbler,29.771275,121.33083
16,Brownish-flanked Bush Warbler,31.349155,120.45297
17,Brownish-flanked Bush Warbler,30.502909,104.28985
18,Brownish-flanked Bush Warbler,31.289612,120.49911
19,Brownish-flanked Bush Warbler,30.253855,120.137184
20,Brownish-flanked Bush Warbler,30.25949,119.914825
21,Brownish-flanked Bush Warbler,23.181284,113.38981
22,Brownish-flanked Bush Warbler,23.262941,114.06437
23,Brownish-flanked Bush Warbler,24.90173,118.15031
24,Brownish-flanked Bush Warbler,30.09489,122.265724
25,Brownish-flanked Bush Warbler,30.513933,114.444626
26,Brownish-flanked Bush Warbler,23.906157,106.61031
27,Brownish-flanked Bush Warbler,26.085672,119.26489
28,Brownish-flanked Bush Warbler,24.965546,113.62769
29,Brownish-flanked Bush Warbler,30.50436,104.2981
30,Brownish-flanked Bush Warbler,23.212933,113.64279
31,Brownish-flanked Bush Warbler,26.367727,106.44163
32,Brownish-flanked Bush Warbler,26.447598,106.67772
33,Brownish-flanked Bush Warbler,27.8391,121.14586
34,Brownish-flanked Bush Warbler,30.12652,120.06906
35,Brownish-flanked Bush Warbler,26.510353,106.647385
36,Brownish-flanked Bush Warbler,27.826721,121.1492
37,Brownish-flanked Bush Warbler,22.947737,113.30737
38,Brownish-flanked Bush Warbler,28.944084,116.35374
39,Brownish-flanked Bush Warbler,25.959202,109.636246
40,Brownish-flanked Bush Warbler,29.760845,103.84022
41,Brownish-flanked Bush Warbler,30.223724,121.89741
42,Brownish-flanked Bush Warbler,22.524765,114.01123
43,Brownish-flanked Bush Warbler,29.536919,119.06825
44,Brownish-flanked Bush Warbler,29.427872,118.5583
45,Brownish-flanked Bush Warbler,29.559925,119.12599
46,Brownish-flanked Bush Warbler,29.580593,118.97636
47,Brownish-flanked Bush Warbler,29.692398,114.23582
48,Brownish-flanked Bush Warbler,25.224627,98.67067
49,Brownish-flanked Bush Warbler,29.699018,121.61353
50,Brownish-flanked Bush Warbler,31.128164,119.85458
51,Brownish-flanked Bush Warbler,30.539099,104.32158
52,Brownish-flanked Bush Warbler,31.096197,120.39221
53,Brownish-flanked Bush Warbler,33.141155,107.06362
54,Brownish-flanked Bush Warbler,31.214968,121.5496
55,Brownish-flanked Bush Warbler,29.184475,119.37959
56,Brownish-flanked Bush Warbler,30.375355,120.61364
57,Brownish-flanked Bush Warbler,26.658157,106.66888
58,Brownish-flanked Bush Warbler,30.24431,119.99249
59,Brownish-flanked Bush Warbler,29.750084,120.22081
60,Brownish-flanked Bush Warbler,30.263409,120.020744
61,Brownish-flanked Bush Warbler,30.68559,104.11392
62,Brownish-flanked Bush Warbler,24.962109,113.62699
63,Brownish-flanked Bush Warbler,23.104862,105.73888
64,Brownish-flanked Bush Warbler,22.4,106.6
65,Brownish-flanked Bush Warbler,27.991245,116.34855
66,Brownish-flanked Bush Warbler,30.15225,120.13549
67,Brownish-flanked Bush Warbler,25.975468,98.697136
68,Brownish-flanked Bush Warbler,22.463232,106.957596
0,Buff-barred Warbler,30.539099,104.32158
1,Buff-barred Warbler,30.502909,104.28985
2,Buff-barred Warbler,25.224627,98.67067
3,Buff-barred Warbler,25.975468,98.697136
